Company,Earnings($B),Share Price,Pct_change,Trend,Country
Verbund AG,3.89,81.38,2.29,down,Austria
Intercontinental Exchange,3.88,147.82,0.39,down,USA
Marubeni,3.88,19.41,2.57,up,Japan
Marriott International,3.86,246.67,1.6,up,USA
Hyundai Mobis,3.85,167.13,0.43,down,S. Korea
Baidu,3.83,93.15,5.98,down,China
NXP Semiconductors,3.82,282.77,0.92,up,Netherlands
Synchrony,3.82,50.72,3.28,up,USA
"Cheniere Energy
Partners",3.81,51.63,0.5,down,USA
Colgate-Palmolive,3.81,97.25,0.84,down,USA
eBay,3.81,53.72,0.87,down,USA
Arch Capital,3.8,97.16,0.68,up,Bermuda
Southern Copper,3.8,112.58,2.27,down,USA
Imperial Brands,3.79,26.53,0.58,down,UK
McKesson,3.78,578.26,0.28,up,USA
Foxconn Industrial Internet,3.77,3.78,1.85,up,China
Aon,3.76,297.31,0.28,down,UK
Westpac Banking,3.76,19.02,0.25,up,Australia
Hess,3.75,150.61,1.5,up,USA
Reckitt Benckiser,3.74,55.72,0.42,up,UK
Central Japan Railway,3.73,22.18,0.48,down,Japan
Powszechny Zakład Ubezpieczeń,3.71,12.59,3.32,down,Poland
Constellation Energy,3.7,212.88,1.96,down,USA
Waste Management,3.7,216.0,1.05,up,USA
Bank of Shanghai,3.66,1.03,0.13,down,China
Merck KGaA,3.64,166.36,0.56,up,Germany
Sun Hung Kai Properties,3.63,9.02,2.29,down,Hong Kong
Toyota Tsusho,3.63,20.13,0.73,up,Japan
PulteGroup,3.61,116.24,0.08,down,USA
Kraft Heinz,3.61,32.29,0.69,up,USA
First Citizens BancShares,3.61,1776.0,1.53,up,USA
American Tower,3.6,208.84,0.84,down,USA
Vedanta,3.59,5.45,0.86,down,India
Anglo American,3.59,30.14,1.69,down,UK
OTP Bank,3.58,50.7,0.14,down,Hungary
Royal Caribbean,3.58,167.72,0.79,up,USA
Bank Leumi,3.56,9.16,0.63,up,Israel
The Hartford,3.54,102.68,0.91,up,USA
CITIC Securities,3.54,2.58,1.46,up,China
Keyence,3.53,469.26,0.12,up,Japan
Infineon,3.53,38.75,0.56,down,Germany
Bridgestone,3.51,38.83,1.39,down,Japan
Parker-Hannifin,3.51,544.74,1.27,up,USA
Dominion Energy,3.5,51.03,1.81,down,USA
Atlas Copco,3.49,16.3,0.49,down,Sweden
LG Chem,3.48,247.08,4.87,down,S. Korea
Fast Retailing,3.47,268.12,1.26,down,Japan
AerCap,3.46,96.65,0.86,up,Ireland
Chubu Electric Power,3.45,11.86,0.77,down,Japan
Alimentation Couche-Tard,3.44,59.63,0.09,up,Canada
Hana Financial Group,3.43,44.93,0.16,up,S. Korea
VICI Properties,3.43,30.29,2.85,up,USA
Sun Life Financial,3.43,50.46,0.36,up,Canada
CJ Group,3.41,84.43,1.27,down,S. Korea
Astra International,3.41,0.27,2.01,down,Indonesia
Suzuki Motor,3.4,11.95,0.66,up,Japan
Svenska Handelsbanken,3.39,9.63,0.15,down,Sweden
Xiaomi,3.37,2.07,5.05,down,China
ENEOS Holdings,3.36,5.22,1.55,up,Japan
Tata Motors,3.36,12.22,0.32,down,India
Japan Post Bank,3.36,9.8,0.94,up,Japan
Powergrid Corporation of India,3.35,4.1,0.41,down,India
M&T Bank,3.35,158.36,2.03,up,USA
EssilorLuxottica,3.35,215.9,0.78,down,France
Tianqi Lithium,3.34,4.0,1.11,up,China
Barrick Gold,3.33,18.36,0.86,down,Canada
Sompo Holdings,3.33,21.72,1.71,up,Japan
MTN Group,3.32,4.36,2.01,down,South Africa
Markel,3.32,1598.0,0.01,down,USA
Humana,3.32,384.21,0.52,up,USA
United Rentals,3.31,707.41,4.1,up,USA
AutoZone,3.3,2941.0,0.71,up,USA
RELX,3.3,45.99,0.86,down,UK
Sysco,3.29,71.8,0.51,down,USA
MS&AD Insurance,3.29,23.64,1.22,up,Japan
SAIC Motor,3.28,2.0,2.04,up,China
MediaTek,3.28,41.29,0.74,down,Taiwan
ITC,3.27,5.57,0.46,up,India
Woodside Energy,3.27,20.01,0.05,up,Australia
Old Mutual,3.25,0.68,0.4,down,South Africa
Henkel,3.25,88.3,0.59,down,Germany
O'Reilly Automotive,3.24,1042.0,0.22,up,USA
Wanhua Chemical,3.23,11.25,0.21,up,China
TransDigm,3.23,1242.0,0.03,down,USA
Tokyo Electron,3.22,227.78,1.06,up,Japan
Jardine Matheson,3.22,36.25,0.83,up,Hong Kong
Akbank,3.21,2.04,1.42,up,Turkey
Itaúsa,3.2,1.88,0.2,up,Brazil
Steel Dynamics,3.2,131.91,2.08,up,USA
Sinopharm,3.2,2.46,1.94,down,China
ORIX,3.2,115.8,0.42,down,Japan
Pernod Ricard,3.19,136.92,1.1,down,France
Haier Smart Home,3.19,3.68,0.45,up,China
UOB,3.18,24.6,0.3,up,Singapore
Corebridge Financial,3.17,29.9,1.56,up,USA
Dai-ichi Life Holdings,3.16,29.31,2.18,up,Japan
Ambev,3.16,2.14,0.47,down,Brazil
BTG Pactual,3.16,2.87,0.45,up,Brazil
Sherwin-Williams,3.13,318.47,0.03,up,USA
Bank of Nanjing,3.12,1.39,0.79,down,China
Safran,3.12,219.34,0.0,up,France
Bank of Baroda,3.11,3.09,0.14,down,India
Suzano,3.1,9.91,2.8,up,Brazil
Daiwa House,3.09,26.72,0.59,up,Japan
Panasonic,3.09,8.25,2.54,down,Japan
Bunge,3.09,110.33,0.69,down,USA
Rolls-Royce Holdings,3.08,5.89,1.11,up,UK
AIB Group (Allied Irish Banks),3.08,5.73,0.96,up,Ireland
Brookfield Renewable,3.07,30.16,3.3,down,USA
LyondellBasell,3.06,95.65,0.62,up,USA
Talanx,3.06,76.96,2.08,down,Germany
National Bank of Canada,3.06,82.53,0.68,down,Canada
Air Products and Chemicals,3.05,259.84,0.56,down,USA
Bank Hapoalim,3.04,9.7,0.03,down,Israel
Standard Bank Group,3.04,11.82,1.38,down,South Africa
Chugai Pharmaceutical,3.03,38.28,3.5,down,Japan
General Mills,3.02,62.86,0.27,down,USA
KLA,3.02,858.12,0.05,up,USA
Korea Electric Power,3.0,7.1,2.34,down,S. Korea
Fubon Financial,2.99,2.82,0.88,up,Taiwan
Power Financial,2.98,13.82,0.0,up,Canada
Zoetis,2.98,177.98,0.59,down,USA
Discover Financial Services,2.97,137.06,4.4,up,USA
Oneok,2.96,84.68,0.02,up,USA
Trane Technologies,2.96,341.0,0.82,down,Ireland
Las Vegas Sands,2.96,42.25,1.12,down,USA
Cincinnati Financial,2.96,123.26,0.75,up,USA
BAE Systems,2.96,16.51,0.47,down,UK
Cathay Financial Holding,2.95,2.01,0.62,up,Taiwan
Denso,2.95,16.17,0.79,down,Japan
Saudi Electricity,2.94,4.39,0.61,up,S. Arabia
Vår Energi,2.93,3.26,1.67,down,Norway
Telkom Indonesia,2.93,19.38,1.77,down,Indonesia
Fifth Third Bank,2.92,39.16,1.77,up,USA
Recruit,2.92,58.98,1.65,down,Japan
Daikin,2.92,143.47,2.03,down,Japan
Adani Power,2.92,8.53,0.55,up,India
Constellation Brands,2.91,249.53,3.96,down,USA
CK Asset Holdings,2.9,3.87,1.15,down,Hong Kong
Larsen & Toubro,2.89,43.53,0.41,down,India
Martin Marietta,2.89,556.57,0.37,up,USA
Poste Italiane,2.89,13.22,0.29,down,Italy
Yapı Kredi,2.88,0.98,2.27,up,Turkey
Kotak Mahindra Bank,2.87,21.61,2.07,down,India
RenaissanceRe,2.87,225.18,2.35,up,Bermuda
China Unicom,2.87,0.94,0.0,up,Hong Kong
Hong Kong Exchanges & Clearing,2.87,30.98,2.34,down,Hong Kong
GE HealthCare Technologies,2.87,80.19,0.11,down,USA
Cement Roadstone Holding,2.85,79.58,0.2,up,Ireland
Loblaw Companies,2.84,121.43,0.14,down,Canada
Michelin,2.84,37.95,0.66,down,France
Apache Corporation,2.84,31.46,4.97,up,USA
Mahindra & Mahindra,2.83,33.0,0.94,up,India
Deutsche Börse,2.82,207.95,0.08,down,Germany
NRG Energy,2.82,75.39,5.68,down,USA
Cummins,2.81,288.93,1.43,up,USA
