Company,Market cap($B),Share Price,Pct_change,Trend,Country
Airbnb,93.46,147.22,0.3,up,USA
Meituan,92.17,15.06,1.34,down,China
Safran,92.09,219.34,0.0,up,France
CrowdStrike,91.83,377.37,1.63,up,USA
Fiserv,90.91,155.39,1.43,up,USA
Foxconn (Hon Hai Precision Industry),90.64,6.54,1.62,down,Taiwan
Recruit,90.52,58.98,1.65,down,Japan
Compagnie Financière Richemont,90.28,154.24,0.8,up,Switzerland
Sumitomo Mitsui Financial Group,89.17,13.61,0.51,down,Japan
Al Rajhi Bank,88.59,22.15,0.24,up,S. Arabia
MercadoLibre,88.41,1744.0,0.98,down,Argentina
Gilead Sciences,88.21,70.81,1.21,up,USA
Atlas Copco,87.95,16.3,0.49,down,Sweden
Southern Copper,87.94,112.58,2.27,down,USA
Southern Company,87.52,80.05,0.08,up,USA
Waste Management,86.63,216.0,1.05,up,USA
Mondelez,86.31,64.35,1.55,down,USA
RELX,86.02,45.99,0.86,down,UK
TAQA,86.01,0.77,0.35,down,UAE
Cadence Design Systems,85.98,315.63,0.01,down,USA
Mitsubishi Corporation,85.95,21.28,1.05,up,Japan
Investor AB,85.64,28.0,0.32,up,Sweden
Intercontinental Exchange,84.78,147.82,0.39,down,USA
Infosys,84.63,20.31,0.44,down,India
Shin-Etsu Chemical,84.37,42.34,1.3,up,Japan
Life Insurance Corporation of India (LIC),83.92,13.27,4.54,up,India
Amphenol,83.73,69.71,0.21,down,USA
NTT (Nippon Telegraph & Telephone),83.44,0.99,0.95,down,Japan
HCA Healthcare,83.02,316.98,2.26,down,USA
Shopify,82.72,64.21,1.05,down,Canada
Starbucks,82.4,72.75,2.78,down,USA
Fast Retailing,82.23,268.12,1.26,down,Japan
Altria Group,81.96,47.72,0.02,down,USA
Moody's,81.57,446.7,0.16,up,USA
Bristol-Myers Squibb,81.38,40.15,0.77,down,USA
Duke Energy,81.28,105.32,0.07,down,USA
Zoetis,81.21,177.98,0.59,down,USA
Sherwin-Williams,80.74,318.47,0.03,up,USA
Iberdrola,80.27,12.87,0.21,down,Spain
GlaxoSmithKline,79.93,38.67,1.25,down,UK
Colgate-Palmolive,79.78,97.25,0.84,down,USA
